RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603127076813	teste	3.0.2
REQUEST	17		request_2	1603127099730	1603127104009	OK	 
REQUEST	28		request_0	1603127087155	1603127104009	OK	 
REQUEST	9		request_11	1603127089622	1603127104009	OK	 
REQUEST	42		request_0	1603127091405	1603127104009	OK	 
REQUEST	22		request_0	1603127085405	1603127104009	OK	 
REQUEST	63		request_0	1603127097655	1603127104010	OK	 
REQUEST	8		request_2	1603127084578	1603127104010	OK	 
REQUEST	56		request_0	1603127095495	1603127104011	OK	 
REQUEST	49		request_0	1603127093495	1603127104028	OK	 
REQUEST	16		request_11	1603127089622	1603127104028	OK	 
REQUEST	9		request_13	1603127094659	1603127104029	OK	 
USER	AcessoMercadoAzul1	85	START	1603127104153	1603127104153
REQUEST	10		request_5	1603127084577	1603127104183	OK	 
REQUEST	68		request_0	1603127099155	1603127104268	OK	 
REQUEST	36		request_0	1603127089494	1603127104296	OK	 
REQUEST	66		request_1	1603127103957	1603127104381	OK	 
REQUEST	4		request_5	1603127084583	1603127104406	OK	 
REQUEST	14		request_11	1603127089622	1603127104409	OK	 
REQUEST	69		request_1	1603127103970	1603127104431	OK	 
REQUEST	32		request_1	1603127103970	1603127104431	OK	 
REQUEST	25		request_1	1603127103971	1603127104431	OK	 
REQUEST	27		request_1	1603127103971	1603127104431	OK	 
REQUEST	18		request_12	1603127099731	1603127104471	OK	 
REQUEST	37		request_1	1603127103985	1603127104484	OK	 
REQUEST	23		request_0	1603127085656	1603127104484	OK	 
USER	AcessoMercadoAzul1	86	START	1603127104493	1603127104493
REQUEST	53		request_1	1603127103978	1603127104509	OK	 
REQUEST	55		request_1	1603127103995	1603127104527	OK	 
REQUEST	38		request_1	1603127103991	1603127104528	OK	 
REQUEST	60		request_0	1603127096824	1603127104546	OK	 
REQUEST	50		request_0	1603127093825	1603127104552	OK	 
REQUEST	24		request_0	1603127085905	1603127104566	OK	 
REQUEST	5		request_5	1603127084581	1603127104566	OK	 
REQUEST	47		request_0	1603127092825	1603127104577	OK	 
REQUEST	29		request_0	1603127087495	1603127104577	OK	 
REQUEST	51		request_1	1603127104012	1603127104586	OK	 
REQUEST	56		request_1	1603127104013	1603127104586	OK	 
REQUEST	26		request_0	1603127086495	1603127104586	OK	 
REQUEST	34		request_0	1603127088904	1603127104586	OK	 
REQUEST	21		request_1	1603127104012	1603127104586	OK	 
REQUEST	63		request_1	1603127104012	1603127104601	OK	 
REQUEST	31		request_0	1603127088154	1603127104601	OK	 
REQUEST	5		request_11	1603127089624	1603127104612	OK	 
REQUEST	61		request_0	1603127097154	1603127104622	OK	 
REQUEST	22		request_1	1603127104019	1603127104622	OK	 
REQUEST	64		request_1	1603127104020	1603127104623	OK	 
REQUEST	42		request_1	1603127104019	1603127104623	OK	 
REQUEST	10		request_2	1603127084576	1603127104623	OK	 
REQUEST	28		request_1	1603127104018	1603127104624	OK	 
