RUN	basic.ListarAnuncios2	listaranuncios2	1603205856681	teste	3.0.2
REQUEST	84		request_1	1603205885239	1603205885451	OK	 
REQUEST	38		request_1	1603205885244	1603205885439	OK	 
REQUEST	9		request_0	1603205859044	1603205885440	OK	 
REQUEST	15		request_1	1603205885256	1603205885470	OK	 
REQUEST	80		request_1	1603205885255	1603205885478	OK	 
REQUEST	8		request_1	1603205885243	1603205885462	OK	 
REQUEST	93		request_1	1603205885270	1603205885552	OK	 
REQUEST	57		request_1	1603205885291	1603205885811	OK	 
REQUEST	73		request_1	1603205885304	1603205885812	OK	 
REQUEST	25		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880130	1603205885815	OK	 
REQUEST	23		request_1	1603205885270	1603205885826	OK	 
REQUEST	75		request_1	1603205885270	1603205885809	OK	 
REQUEST	61		request_1	1603205885292	1603205885853	OK	 
REQUEST	25		css?family=Roboto:700,500,400,300,600&display=swap	1603205875087	1603205885876	OK	 
REQUEST	98		request_1	1603205885278	1603205885922	OK	 
REQUEST	50		request_14	1603205865936	1603205885937	OK	 
REQUEST	50		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880124	1603205885954	OK	 
REQUEST	82		css?family=Roboto:700,500,400,300,600&display=swap	1603205885212	1603205885958	OK	 
REQUEST	50		css?family=Roboto:700,500,400,300,600&display=swap	1603205875091	1603205885962	OK	 
REQUEST	33		request_1	1603205885271	1603205885980	OK	 
REQUEST	71		request_1	1603205885290	1603205885985	OK	 
REQUEST	83		request_14	1603205865028	1603205885992	OK	 
REQUEST	58		request_0	1603205859072	1603205886019	OK	 
REQUEST	31		request_1	1603205885283	1603205886036	OK	 
REQUEST	26		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880129	1603205886066	OK	 
REQUEST	26		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880130	1603205886073	OK	 
REQUEST	2		request_0	1603205859039	1603205886074	OK	 
REQUEST	74		request_14	1603205885186	1603205886076	OK	 
REQUEST	46		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880130	1603205886089	OK	 
REQUEST	83		css?family=Roboto:700,500,400,300,600&display=swap	1603205875088	1603205886084	OK	 
REQUEST	65		request_1	1603205885379	1603205886091	OK	 
REQUEST	46		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880129	1603205886093	OK	 
REQUEST	99		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885198	1603205886093	OK	 
REQUEST	17		request_0	1603205859051	1603205886097	OK	 
