RUN	basic.ListarAnuncios	listaranuncios	1603286431127	teste	3.0.2
REQUEST	27		Gerar Token	1603286433442	1603286447512	OK	 
REQUEST	13		Gerar Token	1603286433436	1603286447553	OK	 
REQUEST	181		Gerar Token	1603286433476	1603286447807	OK	 
REQUEST	199		Gerar Token	1603286433478	1603286447818	OK	 
REQUEST	16		Gerar Token	1603286433439	1603286448757	OK	 
REQUEST	6		Gerar Token	1603286433427	1603286448763	OK	 
REQUEST	178		Gerar Token	1603286433475	1603286448867	OK	 
REQUEST	198		Gerar Token	1603286433478	1603286448868	OK	 
REQUEST	154		Gerar Token	1603286433471	1603286448955	OK	 
REQUEST	143		Gerar Token	1603286433469	1603286449248	OK	 
REQUEST	47		Gerar Token	1603286433447	1603286449250	OK	 
REQUEST	32		Gerar Token	1603286433443	1603286449253	OK	 
REQUEST	138		Gerar Token	1603286433468	1603286449253	OK	 
REQUEST	45		Gerar Token	1603286433446	1603286449262	OK	 
REQUEST	195		Gerar Token	1603286433478	1603286449411	OK	 
REQUEST	25		Gerar Token	1603286433441	1603286449412	OK	 
REQUEST	177		Gerar Token	1603286433475	1603286449460	OK	 
REQUEST	39		Gerar Token	1603286433445	1603286449460	OK	 
REQUEST	23		Gerar Token	1603286433441	1603286449513	OK	 
REQUEST	95		Gerar Token	1603286433458	1603286449614	OK	 
REQUEST	124		Gerar Token	1603286433466	1603286449686	OK	 
REQUEST	42		Gerar Token	1603286433445	1603286449683	OK	 
REQUEST	102		Gerar Token	1603286433460	1603286449683	OK	 
REQUEST	97		Gerar Token	1603286433458	1603286449693	OK	 
REQUEST	17		Gerar Token	1603286433439	1603286449712	OK	 
REQUEST	103		Gerar Token	1603286433461	1603286449712	OK	 
REQUEST	4		Gerar Token	1603286433426	1603286449739	OK	 
REQUEST	164		Gerar Token	1603286433473	1603286449851	OK	 
REQUEST	185		Gerar Token	1603286433476	1603286450060	OK	 
REQUEST	26		Gerar Token	1603286433442	1603286450317	OK	 
REQUEST	146		Gerar Token	1603286433470	1603286450356	OK	 
REQUEST	160		Gerar Token	1603286433472	1603286450600	OK	 
REQUEST	191		Gerar Token	1603286433477	1603286450667	OK	 
REQUEST	34		Gerar Token	1603286433444	1603286450721	OK	 
REQUEST	41		Gerar Token	1603286433445	1603286450815	OK	 
REQUEST	18		Gerar Token	1603286433440	1603286450912	OK	 
REQUEST	156		Gerar Token	1603286433471	1603286450913	OK	 
REQUEST	150		Gerar Token	1603286433470	1603286450967	OK	 
REQUEST	66		Gerar Token	1603286433451	1603286451019	OK	 
REQUEST	129		Gerar Token	1603286433467	1603286451654	OK	 
REQUEST	50		Gerar Token	1603286433447	1603286451714	OK	 
REQUEST	159		Gerar Token	1603286433472	1603286451858	OK	 
REQUEST	122		Gerar Token	1603286433465	1603286451858	OK	 
REQUEST	49		Gerar Token	1603286433447	1603286451959	OK	 
REQUEST	65		Gerar Token	1603286433451	1603286452120	OK	 
REQUEST	106		Gerar Token	1603286433461	1603286452211	OK	 
REQUEST	81		Gerar Token	1603286433454	1603286452412	OK	 
REQUEST	7		Gerar Token	1603286433427	1603286452556	OK	 
REQUEST	15		Gerar Token	1603286433438	1603286452808	OK	 
REQUEST	127		Gerar Token	1603286433466	1603286453061	OK	 
REQUEST	90		Gerar Token	1603286433456	1603286453116	OK	 
REQUEST	57		Gerar Token	1603286433449	1603286453251	OK	 
REQUEST	179		Gerar Token	1603286433475	1603286453482	OK	 
REQUEST	130		Gerar Token	1603286433467	1603286453483	OK	 
REQUEST	70		Gerar Token	1603286433452	1603286453486	OK	 
REQUEST	91		Gerar Token	1603286433456	1603286453485	OK	 
REQUEST	155		Gerar Token	1603286433471	1603286453489	OK	 
REQUEST	123		Gerar Token	1603286433465	1603286453492	OK	 
REQUEST	176		Gerar Token	1603286433475	1603286453505	OK	 
REQUEST	135		Gerar Token	1603286433468	1603286453651	OK	 
REQUEST	24		Gerar Token	1603286433441	1603286453677	OK	 
