RUN	basic.CadastrarAnuncio	cadastraranuncio	1603488920280	teste	3.0.2
REQUEST	29		request_1	1603488939378	1603488939436	OK	 
REQUEST	10		request_2	1603488939400	1603488939442	OK	 
REQUEST	24		request_2	1603488939364	1603488939443	OK	 
REQUEST	8		request_1	1603488939395	1603488939443	OK	 
REQUEST	5		request_3	1603488939331	1603488939446	OK	 
REQUEST	8		request_2	1603488939398	1603488939448	OK	 
REQUEST	5		request_4	1603488939336	1603488939454	OK	 
REQUEST	7		request_3	1603488939332	1603488939454	OK	 
REQUEST	21		request_2	1603488939365	1603488939455	OK	 
REQUEST	33		request_2	1603488939382	1603488939458	OK	 
REQUEST	14		request_3	1603488939331	1603488939455	OK	 
REQUEST	5		request_7	1603488939337	1603488939460	OK	 
REQUEST	31		request_2	1603488939391	1603488939460	OK	 
REQUEST	6		request_7	1603488939349	1603488939461	OK	 
REQUEST	28		request_2	1603488939380	1603488939461	OK	 
REQUEST	30		request_2	1603488939375	1603488939462	OK	 
REQUEST	7		request_4	1603488939332	1603488939484	OK	 
REQUEST	13		request_3	1603488939339	1603488939484	OK	 
REQUEST	21		request_3	1603488939364	1603488939485	OK	 
REQUEST	14		request_7	1603488939333	1603488939485	OK	 
REQUEST	4		request_2	1603488939372	1603488939485	OK	 
REQUEST	14		request_4	1603488939331	1603488939486	OK	 
REQUEST	3		request_4	1603488939338	1603488939483	OK	 
REQUEST	3		request_7	1603488939339	1603488939489	OK	 
REQUEST	3		request_3	1603488939338	1603488939510	OK	 
REQUEST	23		request_7	1603488939368	1603488939510	OK	 
REQUEST	13		request_7	1603488939343	1603488939510	OK	 
REQUEST	20		request_4	1603488939337	1603488939511	OK	 
REQUEST	9		request_4	1603488939332	1603488939511	OK	 
REQUEST	32		request_7	1603488939333	1603488939510	OK	 
REQUEST	9		request_3	1603488939332	1603488939512	OK	 
REQUEST	11		request_4	1603488939332	1603488939511	OK	 
REQUEST	21		request_7	1603488939367	1603488939512	OK	 
REQUEST	23		request_3	1603488939366	1603488939512	OK	 
REQUEST	13		request_4	1603488939340	1603488939513	OK	 
REQUEST	20		request_3	1603488939331	1603488939513	OK	 
REQUEST	25		request_4	1603488939370	1603488939513	OK	 
REQUEST	21		request_4	1603488939365	1603488939513	OK	 
REQUEST	32		request_3	1603488939331	1603488939513	OK	 
REQUEST	6		request_3	1603488939347	1603488939513	OK	 
REQUEST	30		request_7	1603488939376	1603488939513	OK	 
REQUEST	4		request_3	1603488939371	1603488939514	OK	 
REQUEST	23		request_4	1603488939367	1603488939514	OK	 
REQUEST	15		request_3	1603488939343	1603488939514	OK	 
REQUEST	32		request_4	1603488939331	1603488939514	OK	 
REQUEST	1		request_3	1603488939342	1603488939519	OK	 
REQUEST	12		request_7	1603488939349	1603488939529	OK	 
REQUEST	25		request_3	1603488939358	1603488939529	OK	 
REQUEST	6		request_4	1603488939347	1603488939530	OK	 
REQUEST	11		request_3	1603488939331	1603488939529	OK	 
REQUEST	12		request_3	1603488939341	1603488939531	OK	 
REQUEST	1		request_4	1603488939343	1603488939531	OK	 
REQUEST	26		request_3	1603488939342	1603488939536	OK	 
REQUEST	12		request_4	1603488939343	1603488939536	OK	 
REQUEST	27		request_3	1603488939366	1603488939536	OK	 
REQUEST	27		request_4	1603488939366	1603488939537	OK	 
REQUEST	30		request_3	1603488939374	1603488939548	OK	 
REQUEST	7		request_7	1603488939334	1603488939548	OK	 
REQUEST	22		request_4	1603488939360	1603488939548	OK	 
REQUEST	4		request_7	1603488939373	1603488939548	OK	 
REQUEST	29		request_3	1603488939382	1603488939548	OK	 
REQUEST	15		request_4	1603488939344	1603488939549	OK	 
REQUEST	2		request_7	1603488939349	1603488939548	OK	 
REQUEST	4		request_4	1603488939372	1603488939549	OK	 
REQUEST	15		request_7	1603488939345	1603488939549	OK	 
REQUEST	2		request_4	1603488939348	1603488939550	OK	 
REQUEST	11		request_7	1603488939333	1603488939555	OK	 
REQUEST	26		request_7	1603488939344	1603488939555	OK	 
REQUEST	25		request_7	1603488939372	1603488939555	OK	 
REQUEST	22		request_7	1603488939379	1603488939555	OK	 
REQUEST	1		request_7	1603488939355	1603488939555	OK	 
REQUEST	29		request_7	1603488939383	1603488939555	OK	 
REQUEST	9		request_7	1603488939334	1603488939556	OK	 
REQUEST	29		request_4	1603488939382	1603488939556	OK	 
REQUEST	24		request_7	1603488939375	1603488939556	OK	 
REQUEST	20		request_7	1603488939342	1603488939557	OK	 
REQUEST	27		request_7	1603488939368	1603488939557	OK	 
REQUEST	22		request_3	1603488939359	1603488939574	OK	 
REQUEST	24		request_3	1603488939354	1603488939574	OK	 
REQUEST	16		request_4	1603488939380	1603488939574	OK	 
REQUEST	30		request_4	1603488939374	1603488939575	OK	 
REQUEST	24		request_4	1603488939363	1603488939575	OK	 
REQUEST	19		request_3	1603488939359	1603488939575	OK	 
REQUEST	28		request_3	1603488939377	1603488939575	OK	 
REQUEST	26		request_4	1603488939343	1603488939576	OK	 
REQUEST	19		request_7	1603488939361	1603488939576	OK	 
REQUEST	18		request_7	1603488939375	1603488939576	OK	 
REQUEST	28		request_4	1603488939380	1603488939577	OK	 
REQUEST	18		request_3	1603488939372	1603488939577	OK	 
REQUEST	19		request_4	1603488939359	1603488939577	OK	 
REQUEST	2		request_3	1603488939347	1603488939578	OK	 
REQUEST	18		request_4	1603488939372	1603488939578	OK	 
REQUEST	31		request_4	1603488939388	1603488939580	OK	 
REQUEST	31		request_3	1603488939387	1603488939581	OK	 
REQUEST	10		request_4	1603488939394	1603488939594	OK	 
REQUEST	16		request_3	1603488939379	1603488939594	OK	 
REQUEST	33		request_7	1603488939382	1603488939594	OK	 
REQUEST	10		request_7	1603488939401	1603488939595	OK	 
REQUEST	17		request_7	1603488939394	1603488939595	OK	 
REQUEST	33		request_3	1603488939379	1603488939595	OK	 
REQUEST	31		request_7	1603488939392	1603488939595	OK	 
REQUEST	33		request_4	1603488939381	1603488939596	OK	 
REQUEST	17		request_3	1603488939392	1603488939597	OK	 
REQUEST	17		request_4	1603488939392	1603488939597	OK	 
REQUEST	8		request_3	1603488939396	1603488939598	OK	 
REQUEST	28		request_7	1603488939393	1603488939599	OK	 
REQUEST	16		request_7	1603488939393	1603488939600	OK	 
REQUEST	10		request_3	1603488939392	1603488939600	OK	 
REQUEST	8		request_4	1603488939397	1603488939600	OK	 
REQUEST	8		request_7	1603488939398	1603488939601	OK	 
USER	CadastrarAnuncio	52	START	1603488939635	1603488939635
USER	CadastrarAnuncio	53	START	1603488939965	1603488939965
REQUEST	49		Gerar Token	1603488938636	1603488940003	OK	 
REQUEST	35		Gerar Token	1603488933967	1603488940059	OK	 
REQUEST	43		Gerar Token	1603488936635	1603488940106	OK	 
REQUEST	44		Gerar Token	1603488936966	1603488940159	OK	 
REQUEST	36		Gerar Token	1603488934296	1603488940159	OK	 
REQUEST	41		Gerar Token	1603488935966	1603488940159	OK	 
REQUEST	37		Gerar Token	1603488934637	1603488940165	OK	 
REQUEST	46		Gerar Token	1603488937636	1603488940180	OK	 
REQUEST	50		Gerar Token	1603488939083	1603488940180	OK	 
REQUEST	51		Gerar Token	1603488939296	1603488940265	OK	 
USER	CadastrarAnuncio	54	START	1603488940295	1603488940295
REQUEST	39		Gerar Token	1603488935296	1603488940379	OK	 
REQUEST	40		Gerar Token	1603488935637	1603488940385	OK	 
REQUEST	42		Gerar Token	1603488936297	1603488940393	OK	 
REQUEST	45		Gerar Token	1603488937296	1603488940456	OK	 
REQUEST	38		Gerar Token	1603488934967	1603488940456	OK	 
REQUEST	47		Gerar Token	1603488937967	1603488940500	OK	 
REQUEST	48		Gerar Token	1603488938296	1603488940517	OK	 
USER	CadastrarAnuncio	55	START	1603488940635	1603488940635
REQUEST	52		Gerar Token	1603488939636	1603488940731	OK	 
REQUEST	53		Gerar Token	1603488939966	1603488940829	OK	 
REQUEST	54		Gerar Token	1603488940297	1603488940926	OK	 
USER	CadastrarAnuncio	56	START	1603488940965	1603488940965
REQUEST	55		Gerar Token	1603488940636	1603488941004	OK	 
USER	CadastrarAnuncio	57	START	1603488941295	1603488941295
REQUEST	56		Gerar Token	1603488940967	1603488941521	OK	 
USER	CadastrarAnuncio	58	START	1603488941635	1603488941635
REQUEST	57		Gerar Token	1603488941296	1603488941773	OK	 
USER	CadastrarAnuncio	59	START	1603488941965	1603488941965
REQUEST	58		Gerar Token	1603488941635	1603488941988	OK	 
USER	CadastrarAnuncio	60	START	1603488942295	1603488942295
REQUEST	59		Gerar Token	1603488941966	1603488942337	OK	 
USER	CadastrarAnuncio	61	START	1603488942635	1603488942635
REQUEST	60		Gerar Token	1603488942296	1603488942645	OK	 
USER	CadastrarAnuncio	62	START	1603488942965	1603488942965
REQUEST	61		Gerar Token	1603488942636	1603488943002	OK	 
USER	CadastrarAnuncio	63	START	1603488943295	1603488943295
REQUEST	62		Gerar Token	1603488942966	1603488943338	OK	 
USER	CadastrarAnuncio	64	START	1603488943635	1603488943635
REQUEST	63		Gerar Token	1603488943296	1603488943887	OK	 
USER	CadastrarAnuncio	65	START	1603488943965	1603488943965
REQUEST	34		request_0	1603488943846	1603488943977	OK	 
REQUEST	34		request_1	1603488943984	1603488944012	OK	 
REQUEST	34		request_2	1603488943986	1603488944012	OK	 
REQUEST	34		request_3	1603488943985	1603488944066	OK	 
REQUEST	34		request_4	1603488943985	1603488944067	OK	 
REQUEST	34		request_7	1603488943987	1603488944068	OK	 
REQUEST	64		Gerar Token	1603488943636	1603488944125	OK	 
USER	CadastrarAnuncio	66	START	1603488944295	1603488944295
REQUEST	65		Gerar Token	1603488943966	1603488944378	OK	 
USER	CadastrarAnuncio	67	START	1603488944635	1603488944635
REQUEST	66		Gerar Token	1603488944296	1603488944656	OK	 
USER	CadastrarAnuncio	68	START	1603488944965	1603488944965
REQUEST	67		Gerar Token	1603488944636	1603488945009	OK	 
REQUEST	49		request_0	1603488945026	1603488945151	OK	 
REQUEST	49		request_2	1603488945155	1603488945189	OK	 
REQUEST	35		request_0	1603488945075	1603488945189	OK	 
REQUEST	49		request_1	1603488945154	1603488945203	OK	 
REQUEST	35		request_2	1603488945195	1603488945222	OK	 
REQUEST	35		request_1	1603488945193	1603488945223	OK	 
REQUEST	49		request_3	1603488945154	1603488945244	OK	 
