RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603129416590	teste script acesso mercado azul	3.0.2
REQUEST	11		request_10	1603129424306	1603129438240	OK	 
REQUEST	44		request_0	1603129431593	1603129438305	OK	 
REQUEST	40		request_0	1603129430513	1603129438305	OK	 
REQUEST	59		request_1	1603129437665	1603129438314	OK	 
REQUEST	15		request_5	1603129424303	1603129438314	OK	 
REQUEST	13		request_10	1603129424301	1603129438325	OK	 
REQUEST	4		request_10	1603129424298	1603129438325	OK	 
REQUEST	41		request_10	1603129436263	1603129438423	OK	 
REQUEST	41		request_2	1603129436262	1603129438436	OK	 
REQUEST	16		request_13	1603129434383	1603129438436	OK	 
REQUEST	62		request_0	1603129437092	1603129438455	OK	 
REQUEST	18		request_12	1603129434409	1603129438455	OK	 
REQUEST	26		request_11	1603129436842	1603129438474	OK	 
REQUEST	5		request_2	1603129424297	1603129438474	OK	 
REQUEST	33		request_10	1603129436390	1603129438475	OK	 
REQUEST	40		request_1	1603129438306	1603129438476	OK	 
REQUEST	44		request_1	1603129438306	1603129438490	OK	 
USER	AcessoMercadoAzul1	67	START	1603129438512	1603129438512
REQUEST	25		request_2	1603129438054	1603129438519	OK	 
REQUEST	49		request_1	1603129436933	1603129438539	OK	 
REQUEST	24		request_2	1603129437998	1603129438679	OK	 
REQUEST	4		request_5	1603129424298	1603129438680	OK	 
REQUEST	24		request_10	1603129438000	1603129438723	OK	 
REQUEST	26		request_13	1603129436844	1603129438725	OK	 
REQUEST	24		request_11	1603129438001	1603129438725	OK	 
REQUEST	62		request_1	1603129438457	1603129438744	OK	 
REQUEST	24		request_5	1603129437999	1603129438745	OK	 
REQUEST	24		request_13	1603129438003	1603129438787	OK	 
REQUEST	41		request_12	1603129436264	1603129438788	OK	 
REQUEST	6		request_12	1603129429340	1603129438841	OK	 
USER	AcessoMercadoAzul1	68	START	1603129438842	1603129438842
REQUEST	9		request_11	1603129429338	1603129438891	OK	 
REQUEST	53		request_0	1603129434344	1603129438891	OK	 
REQUEST	26		request_2	1603129436839	1603129438967	OK	 
REQUEST	46		request_2	1603129436644	1603129438967	OK	 
REQUEST	37		request_0	1603129429513	1603129438968	OK	 
REQUEST	26		request_10	1603129436841	1603129438969	OK	 
REQUEST	26		request_12	1603129436843	1603129438970	OK	 
REQUEST	26		request_5	1603129436840	1603129438992	OK	 
REQUEST	24		request_12	1603129438002	1603129438992	OK	 
REQUEST	61		request_0	1603129436842	1603129439007	OK	 
REQUEST	49		request_2	1603129436933	1603129439007	OK	 
REQUEST	12		request_11	1603129429341	1603129439012	OK	 
REQUEST	25		request_5	1603129438054	1603129439013	OK	 
REQUEST	25		request_11	1603129438055	1603129439013	OK	 
REQUEST	25		request_10	1603129438054	1603129439014	OK	 
REQUEST	25		request_13	1603129438055	1603129439033	OK	 
REQUEST	11		request_11	1603129429338	1603129439070	OK	 
REQUEST	44		request_2	1603129438307	1603129439077	OK	 
REQUEST	49		request_11	1603129436934	1603129439077	OK	 
REQUEST	16		request_11	1603129429340	1603129439093	OK	 
REQUEST	53		request_1	1603129438893	1603129439093	OK	 
REQUEST	37		request_1	1603129438970	1603129439115	OK	 
REQUEST	66		request_0	1603129438183	1603129439122	OK	 
REQUEST	35		request_5	1603129437214	1603129439123	OK	 
REQUEST	25		request_12	1603129438055	1603129439150	OK	 
REQUEST	35		request_11	1603129437216	1603129439171	OK	 
REQUEST	58		request_10	1603129436546	1603129439171	OK	 
USER	AcessoMercadoAzul1	69	START	1603129439182	1603129439182
REQUEST	49		request_10	1603129436934	1603129439237	OK	 
REQUEST	35		request_10	1603129437215	1603129439237	OK	 
REQUEST	61		request_1	1603129439009	1603129439281	OK	 
REQUEST	35		request_13	1603129437218	1603129439282	OK	 
REQUEST	35		request_2	1603129437213	1603129439282	OK	 
REQUEST	62		request_5	1603129438458	1603129439350	OK	 
REQUEST	11		request_5	1603129424306	1603129439350	OK	 
REQUEST	40		request_2	1603129438307	1603129439411	OK	 
REQUEST	49		request_12	1603129436935	1603129439412	OK	 
REQUEST	49		request_13	1603129436935	1603129439412	OK	 
REQUEST	44		request_5	1603129438307	1603129439478	OK	 
REQUEST	40		request_5	1603129438307	1603129439479	OK	 
USER	AcessoMercadoAzul1	70	START	1603129439512	1603129439512
REQUEST	40		request_11	1603129438307	1603129439556	OK	 
REQUEST	44		request_10	1603129438307	1603129439557	OK	 
REQUEST	40		request_10	1603129438307	1603129439558	OK	 
REQUEST	63		request_0	1603129437343	1603129439615	OK	 
REQUEST	66		request_1	1603129439124	1603129439615	OK	 
REQUEST	5		request_12	1603129429342	1603129439619	OK	 
REQUEST	44		request_13	1603129438308	1603129439635	OK	 
REQUEST	40		request_13	1603129438308	1603129439636	OK	 
REQUEST	14		request_2	1603129424306	1603129439661	OK	 
REQUEST	44		request_11	1603129438307	1603129439702	OK	 
REQUEST	21		request_0	1603129424843	1603129439703	OK	 
REQUEST	35		request_12	1603129437217	1603129439769	OK	 
REQUEST	11		request_13	1603129434377	1603129439769	OK	 
REQUEST	1		request_13	1603129434403	1603129439785	OK	 
REQUEST	62		request_2	1603129438457	1603129439817	OK	 
REQUEST	62		request_11	1603129438458	1603129439818	OK	 
USER	AcessoMercadoAzul1	71	START	1603129439842	1603129439842
REQUEST	62		request_10	1603129438458	1603129439844	OK	 
REQUEST	53		request_2	1603129438894	1603129439844	OK	 
REQUEST	14		request_10	1603129424307	1603129439846	OK	 
REQUEST	62		request_13	1603129438459	1603129439873	OK	 
REQUEST	40		request_12	1603129438308	1603129439902	OK	 
REQUEST	44		request_12	1603129438308	1603129439917	OK	 
REQUEST	63		request_1	1603129439618	1603129439951	OK	 
REQUEST	46		request_5	1603129436645	1603129439952	OK	 
REQUEST	67		request_0	1603129438513	1603129439957	OK	 
REQUEST	50		request_0	1603129433513	1603129439987	OK	 
REQUEST	1		request_12	1603129434401	1603129440010	OK	 
REQUEST	21		request_1	1603129439703	1603129440012	OK	 
REQUEST	42		request_0	1603129431092	1603129440034	OK	 
REQUEST	61		request_2	1603129439010	1603129440034	OK	 
REQUEST	9		request_10	1603129424302	1603129440034	OK	 
REQUEST	8		request_13	1603129434377	1603129440055	OK	 
REQUEST	2		request_2	1603129424302	1603129440055	OK	 
REQUEST	2		request_5	1603129424303	1603129440088	OK	 
USER	AcessoMercadoAzul1	72	START	1603129440092	1603129440092
REQUEST	64		request_0	1603129437593	1603129440115	OK	 
REQUEST	46		request_11	1603129436647	1603129440115	OK	 
REQUEST	62		request_12	1603129438459	1603129440117	OK	 
REQUEST	2		request_11	1603129429337	1603129440118	OK	 
REQUEST	17		request_5	1603129424298	1603129440136	OK	 
REQUEST	46		request_10	1603129436646	1603129440143	OK	 
REQUEST	17		request_10	1603129424299	1603129440143	OK	 
REQUEST	65		request_0	1603129437843	1603129440154	OK	 
REQUEST	47		request_2	1603129436567	1603129440161	OK	 
REQUEST	59		request_5	1603129437666	1603129440184	OK	 
REQUEST	10		request_10	1603129424298	1603129440185	OK	 
REQUEST	59		request_10	1603129437667	1603129440187	OK	 
REQUEST	2		request_10	1603129424303	1603129440200	OK	 
REQUEST	59		request_13	1603129437669	1603129440216	OK	 
REQUEST	8		request_10	1603129424308	1603129440217	OK	 
REQUEST	23		request_0	1603129425342	1603129440219	OK	 
REQUEST	68		request_0	1603129438843	1603129440224	OK	 
REQUEST	20		request_0	1603129424513	1603129440232	OK	 
REQUEST	53		request_5	1603129438894	1603129440233	OK	 
REQUEST	53		request_10	1603129438895	1603129440235	OK	 
REQUEST	53		request_13	1603129438896	1603129440242	OK	 
REQUEST	3		request_2	1603129424305	1603129440242	OK	 
REQUEST	3		request_11	1603129429337	1603129440242	OK	 
REQUEST	37		request_2	1603129438971	1603129440264	OK	 
REQUEST	37		request_13	1603129438975	1603129440268	OK	 
REQUEST	37		request_10	1603129438972	1603129440274	OK	 
REQUEST	52		request_0	1603129434093	1603129440274	OK	 
REQUEST	27		request_10	1603129436276	1603129440275	OK	 
REQUEST	59		request_2	1603129437666	1603129440284	OK	 
REQUEST	45		request_11	1603129436356	1603129440286	OK	 
REQUEST	64		request_1	1603129440118	1603129440309	OK	 
REQUEST	22		request_11	1603129436351	1603129440312	OK	 
REQUEST	41		request_13	1603129436265	1603129440312	OK	 
REQUEST	32		request_10	1603129436373	1603129440312	OK	 
REQUEST	56		request_10	1603129436371	1603129440312	OK	 
REQUEST	34		request_11	1603129436370	1603129440312	OK	 
REQUEST	48		request_10	1603129436351	1603129440313	OK	 
REQUEST	39		request_10	1603129436371	1603129440317	OK	 
REQUEST	46		request_13	1603129436648	1603129440327	OK	 
REQUEST	46		request_12	1603129436647	1603129440328	OK	 
REQUEST	3		request_13	1603129434379	1603129440327	OK	 
REQUEST	48		request_11	1603129436351	1603129440327	OK	 
REQUEST	15		request_13	1603129434389	1603129440328	OK	 
REQUEST	65		request_1	1603129440157	1603129440333	OK	 
USER	AcessoMercadoAzul1	73	START	1603129440342	1603129440342
REQUEST	61		request_5	1603129439010	1603129440349	OK	 
REQUEST	32		request_5	1603129436372	1603129440350	OK	 
REQUEST	37		request_12	1603129438974	1603129440350	OK	 
REQUEST	39		request_11	1603129436371	1603129440350	OK	 
REQUEST	47		request_11	1603129436568	1603129440350	OK	 
REQUEST	59		request_11	1603129437668	1603129440350	OK	 
REQUEST	20		request_1	1603129440235	1603129440351	OK	 
REQUEST	68		request_1	1603129440228	1603129440357	OK	 
REQUEST	51		request_0	1603129433843	1603129440369	OK	 
REQUEST	32		request_11	1603129436373	1603129440369	OK	 
REQUEST	29		request_2	1603129436350	1603129440370	OK	 
REQUEST	47		request_10	1603129436568	1603129440370	OK	 
REQUEST	43		request_0	1603129431343	1603129440385	OK	 
REQUEST	28		request_5	1603129436350	1603129440385	OK	 
REQUEST	29		request_5	1603129436350	1603129440385	OK	 
REQUEST	22		request_2	1603129436350	1603129440394	OK	 
REQUEST	21		request_5	1603129439704	1603129440394	OK	 
REQUEST	56		request_11	1603129436371	1603129440394	OK	 
REQUEST	23		request_1	1603129440222	1603129440394	OK	 
REQUEST	10		request_2	1603129424297	1603129440401	OK	 
REQUEST	30		request_0	1603129427513	1603129440401	OK	 
REQUEST	31		request_0	1603129427843	1603129440401	OK	 
REQUEST	8		request_11	1603129429338	1603129440401	OK	 
REQUEST	52		request_1	1603129440277	1603129440402	OK	 
REQUEST	48		request_13	1603129436352	1603129440402	OK	 
REQUEST	34		request_10	1603129436369	1603129440436	OK	 
REQUEST	63		request_5	1603129439619	1603129440455	OK	 
REQUEST	56		request_2	1603129436370	1603129440455	OK	 
REQUEST	39		request_5	1603129436370	1603129440455	OK	 
REQUEST	33		request_12	1603129436391	1603129440516	OK	 
REQUEST	34		request_13	1603129436371	1603129440536	OK	 
REQUEST	36		request_0	1603129429183	1603129440559	OK	 
REQUEST	34		request_5	1603129436369	1603129440560	OK	 
REQUEST	15		request_12	1603129429339	1603129440581	OK	 
REQUEST	18		request_13	1603129434410	1603129440581	OK	 
